ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
9194;"Cēsu T/C Globuss pakomāts";0;LV;"Cēsu novads";Cēsis;;;"Raiņa iela";;26/28;;25.276853;57.309283;;;;;;;;;"Pa labi no T/C Centrālās ieejas";;2024-06-21T12:48:18.973+03:00
9260;"Cēsu T/C SOLO pakomāts";0;LV;"Cēsu novads";Cēsis;;;"Jāņa Poruka iela";;19;;25.292189;57.314803;;;;;;;;;;;2024-06-25T10:06:51.477+03:00
9921;"Cēsu Valmieras ielas Maxima XX pakomāts";0;LV;"Cēsu novads";Cēsis;;;"Valmieras iela";;17A;;25.280035;57.317123;;;;;;;;;"Blakus T/C centrālajai ieejai";;2024-06-26T11:44:34.603+03:00
9989;"Dagdas TOP pakomāts";0;LV;"Krāslavas novads";Dagda;;;"Daugavpils iela";;6;;27.539503;56.095767;;;;;;;;;"Pa kreisi no ieejas";;2024-06-26T16:20:30.337+03:00
9272;"Daugavpils 18. novembra ielas Lats pakomāts";0;LV;"Augšdaugavas novads";"Naujenes pagasts";Vecstropi;;"18. novembra iela";;398A;;26.609834;55.897564;;;;;;;;;;;2024-06-25T10:25:19.353+03:00
9578;"Daugavpils 18. novembra ielas RIMI pakomāts (ILGĀKA PIEGĀDE)";0;LV;Daugavpils;;;;"18. novembra iela";;136;;26.551119;55.876950;;;;;;;;;;;2024-09-09T10:05:20.627+03:00
9211;"Daugavpils Cialkovska ielas Lats pakomāts";0;LV;Daugavpils;;;;"Cialkovska iela";;10A;;26.566080;55.891190;;;;;;;;;"Pa kreisi no ieejas";;2024-06-21T13:41:41.830+03:00
9273;"Daugavpils Gaismas ielas TOP pakomāts";0;LV;Daugavpils;;;;"Gaismas iela";;12;;26.584495;55.867753;;;;;;;;;;;2024-06-25T10:25:41.737+03:00
9916;"Daugavpils T/C Aveņu centrs pakomāts (ILGĀKA PIEGĀDE)";0;LV;Daugavpils;;;;"Raipoles iela";;11;;26.526382;55.901089;;;;;;;;;"Aveņu centra centrālās fasādes pusē";;2024-09-09T10:02:55.377+03:00
9918;"Daugavpils T/C Ditton pakomāts";0;LV;Daugavpils;;;;"Cietokšņa iela";;60;;26.516401;55.874596;;;;;;;;;"Krustojumā ar Kandavas ielu";;2024-06-27T13:13:43.967+03:00
